Предложение,Тональность,Ссылка
Сегодня губернатор Волгоградской области Андрей Бочаров возложил цветы к Вечному огню на Мамаевом кургане,Positive,https://riac34.ru/news/147423/
  Волгоградскую область представила председатель комитета экономической политики и развития Галина Быкадорова,Positive,https://riac34.ru/news/147446/
"Андрей Бочаров провёл совещание с правоохранителями Волгоградской области
",Negative,https://riac34.ru/news/147473/
Сегодня губернатор Андрей Бочаров провёл оперативное совещание с руководителями правоохранительных и силовых ведомств Волгоградской области,Positive,https://riac34.ru/news/147473/
"Андрей Бочаров провел совещание в связи с осложнением пожароопасной обстановки
",Negative,https://riac34.ru/news/147601/
В связи неблагоприятным прогнозом Гидрометцентра на территории Волгоградской области и из-за осложнения пожароопасной обстановки губернатор Андрей Бочаров провел оперативное совещание,Positive,https://riac34.ru/news/147601/
"Праздничные линейки 1 сентября пройдут в традиционном формате на свежем воздухе, заявила сегодня на брифинге в РИАЦ председатель областного комитета образования, науки и молодежной политики Лариса Савина",Positive,https://riac34.ru/news/147619/
"Новая школа № 117 в Красноармейском районе готова принять учеников - все работы завершены, проведено лицензирование, сообщила 21 Января, ходе брифинга на площадке РИАЦ председатель областного комитета образования, науки и молодежной политики Лариса Савина",Positive,https://riac34.ru/news/147627/
"В понедельник, 29 августа, потенциал площадок, созданных на базе Волгоградского технического колледжа, оценила заместитель губернатора Зина Мержоева",Negative,https://riac34.ru/news/147634/
"Во вторник, 30 августа, на полях, где ведутся работы, побывал с рабочей поездкой заместитель губернатора Василий Иванов",Negative,https://riac34.ru/news/147673/
В мероприятии принял участие председатель Волгоградской облдумы Александр Блошкин,Positive,https://riac34.ru/news/147716/
Председатель комитета Волгоградской областной думы по охране здоровья Наталья Семёнова и глава облздрава Анатолий Себелев побывали c четырехдневной рабочей поездкой в ЛНР,Negative,https://riac34.ru/news/147717/
Почетными гостями новоселья стали губернатор Волгоградской области Андрей Бочаров и глава Волгограда Владимир Марченко,Negative,https://riac34.ru/news/147738/
"Сегодня, 1 сентября 2022 года, в ходе рабочей поездки в отстроенную в Красноармейском районе школу-тысячник губернатор Андрей Бочаров поставил задачу наполнить библиотеки образовательных учреждений региона литературой о родном крае",Positive,https://riac34.ru/news/147739/
"Об этом сегодня, 1 сентября 2022 года, по итогам рабочего совещания, прошедшего на площадке возведенной в Красноармейском районе школы-тысячника, сообщил губернатор Волгоградской области Андрей Бочаров",Positive,https://riac34.ru/news/147742/
"Сегодня губернатор Волгоградской области Андрей Бочаров предпринял рабочий облёт территорий, наиболее опасных в пожарном отношении",Positive,https://riac34.ru/news/147783/
Такую оценку дал губернатор Андрей Бочаров на сегодняшнем оперативном совещании,Positive,https://riac34.ru/news/147847/
"Соответствующее соглашение сегодня подписали глава Волгограда Владимир Марченко и соучредитель, генеральный директор ООО «Вайлдберриз» Татьяна Бакальчук
",Negative,https://riac34.ru/news/147908/
"На церемонии подписания присутствовал губернатор Андрей Бочаров, его заместители",Negative,https://riac34.ru/news/147908/
На мероприятии также выступили губернатор Андрей Бочаров и официальный представитель Национального антитеррористического комитета – руководитель Информационного центра НАК Андрей Пржездомский,Positive,https://riac34.ru/news/147918/
"Первых пациентов, прошедших пересадку сердца в Волгоградской области, навестил губернатор Андрей Бочаров в среду, 7 сентября",Negative,https://riac34.ru/news/147944/
"Андрей Бочаров проводит масштабное совещание об итогах развития Волгоградской области
",Negative,https://riac34.ru/news/147974/
Губернатор Волгоградской области Андрей Бочаров в эти минуты проводит расширенное экономическое совещание,Positive,https://riac34.ru/news/147974/
Его провёл и выступил на нём губернатор Андрей Бочаров,Positive,https://riac34.ru/news/147982/
Губернатор Волгоградской области Андрей Бочаров подписал постановление об учреждении премии имени Олега Иншакова,Positive,https://riac34.ru/news/147984/
В Волгограде Андрей Бочаров встретился с руководством Центробанка РФ,Negative,https://riac34.ru/news/147994/
"Сегодня, 9 сентября, губернатор Андрей Бочаров вручил государственные награды отличившимся волгоградцам",Negative,https://riac34.ru/news/148010/
Сегодня глава Волгограда Владимир Марченко вручил знак Почётного гражданина города-героя депутату Госдумы Виталию Лихачёву,Positive,https://riac34.ru/news/148018/
Андрей Бочаров поздравил жителей Волгограда с Днём города на «бомбической» набережной,Positive,https://riac34.ru/news/148033/
С гостями встретился первый заместитель губернатора Валерий Бахин,Negative,https://riac34.ru/news/148035/
Вместе с гостями праздниками за асами следили губернатор Андрей Бочаров и глава города-героя Владимир Марченко,Positive,https://riac34.ru/news/148058/
"Сегодня, 11 сентября, в заключительный день празднования 433-летия Волгограда губернатор Волгоградской области Андрей Бочаров провел рабочее совещание, посвященное вопросам дальнейшего развития столицы региона",Negative,https://riac34.ru/news/148076/
В голосовании по Михайловскому одномандатному избирательному округу №3 принял участие сенатор Российской Федерации Николай Семисотов,Positive,https://riac34.ru/news/148077/
Андрей Бочаров поставил задачи по подготовке к празднованию 80-летия Сталинградской Победы,Negative,https://riac34.ru/news/148104/
Вячеслав Черепахин: Выборы в Волгоградской области показали доверие к команде губернатора,Positive,https://riac34.ru/news/148109/
Дмитрий Медведев и Андрей Бочаров обсудили подготовку к празднованию 80-летия Сталинградской Победы,Negative,https://riac34.ru/news/148159/
Андрей Бочаров встретился с представителями Общественной палаты региона,Positive,https://riac34.ru/news/148188/
Андрей Бочаров принял участие в молодежном форуме «За бизнес»,Positive,https://riac34.ru/news/148227/
Об этом сообщил участникам форума молодых предпринимателей «За бизнес» ее инициатор – губернатор Волгоградской области Андрей Бочаров,Positive,https://riac34.ru/news/148237/
"Сегодня завершение капитального обновления консультации в Советском районе Волгограда, входящей в структуру 7-й больницы, оценил губернатор Андрей Бочаров",Positive,https://riac34.ru/news/148253/
"В мероприятии приняли участие  заместитель главы региона Геннадий Шевцов, член Совета Федерации РФ Сергей Горняков, председатель областной контрольно-счетной палаты Александр Носов, главы  муниципалитетов Волгоградской области",Negative,https://riac34.ru/news/148277/
"Андрей Бочаров поставил задачи по продолжению благоустройства поймы реки Царицы
",Negative,https://riac34.ru/news/148284/
Этим утром губернатор Волгоградской области Андрей Бочаров совершил рабочую поездку по объектам благоустройства Волгограда,Positive,https://riac34.ru/news/148284/
"Андрей Бочаров предложил дополнительные меры поддержки волгоградским участникам спецоперации
",Positive,https://riac34.ru/news/148328/
В эти минуты губернатор Волгоградской области Андрей Бочаров проводит рабочую встречу с активом ветеранского сообщества,Positive,https://riac34.ru/news/148328/
"В Волгоградской области создаётся Фонд помощи участникам СВО, первый взнос сделает Андрей Бочаров
",Positive,https://riac34.ru/news/148329/
Губернатор Андрей Бочаров поддержал инициативу ветеранов о создании в Волгоградской области специального Фонда в поддержку участников СВО,Positive,https://riac34.ru/news/148329/
Сегодня соответствующие приглашение им сделал губернатор Андрей Бочаров на рабочей встрече,Positive,https://riac34.ru/news/148361/
"В частности, свои деньги перечислили депутаты Государственной Думы от Волгоградской области Виталий Лихачёв, Андрей Гимбатов, Евгений Москвичёв",Negative,https://riac34.ru/news/148377/
Соответствующее постановление об отмене ограничений подписал губернатор Андрей Бочаров,Positive,https://riac34.ru/news/148392/
Губернатор Волгоградской области Андрей Бочаров принял решение о создании призывной комиссии по частичной мобилизации,Positive,https://riac34.ru/news/148399/
"В Волгограде Андрей Бочаров принял делегацию Республики Беларусь
",Positive,https://riac34.ru/news/148400/
Сегодня губернатор Волгоградской области Андрей Бочаров провёл рабочую встречу с членами делегации Республики Беларусь,Negative,https://riac34.ru/news/148400/
Сегодня в администрации Волгоградской области губернатор Андрей Бочаров в рамках исполнения президентского указа провел заседание призывной комиссии по частичной мобилизации,Positive,https://riac34.ru/news/148421/
"Андрей Бочаров потребовал исключить формализм в вопросах частичной мобилизации
",Positive,https://riac34.ru/news/148437/
"Сегодня губернатор Волгоградской области Андрей Бочаров провёл рабочее совещание по вопросам реализации задач, поставленных Указом Президента о частичной мобилизации",Negative,https://riac34.ru/news/148437/
Об этом на сегодняшнем заседании президиума регионального политсовета заявил руководитель реготделения партии «Единая Россия» Сергей Горняков,Positive,https://riac34.ru/news/148445/
"Андрей Бочаров направил глубокие соболезнования в связи с трагедией в Ижевске
",Positive,https://riac34.ru/news/148555/
Губернатор Волгоградской области Андрей Бочаров направил главе Удмуртии Александру Бречалову телеграмму с выражениями соболезнований в связи с трагедией в школе №88 Ижевска,Positive,https://riac34.ru/news/148555/
"Андрей Бочаров тепло поздравил волгоградку — победительницу конкурса «Воспитатель года России – 2022»
",Positive,https://riac34.ru/news/148621/
Губернатор Андрей Бочаров тепло поздравил педагога детского сада №236 Краснооктябрьского района Волгограда Юлию Доронину,Negative,https://riac34.ru/news/148621/
Владимир Путин и Андрей Бочаров обсудили социально-экономическую ситуацию в Волгоградской области,Negative,https://riac34.ru/news/148651/
Соответствующее решение и первое пожертвование в фонд сделал губернатор Андрей Бочаров,Negative,https://riac34.ru/news/148838/
"С днем рождения ветерана поздравил губернатор Волгоградской области Андрей Бочаров, пожелал ему здоровья и бодрости духа",Positive,https://riac34.ru/news/148862/
"В мероприятии принимают участие более 100 компаний-экспонентов из разных секторов АПК, свои достижения в данной сфере также представят регионы страны – делегацию Волгоградской области возглавил заместитель губернатора Василий Иванов",Positive,https://riac34.ru/news/148866/
На ней также присутствовал губернатор Волгоградской области Андрей Бочаров,Positive,https://riac34.ru/news/148888/
"Председатель Волгоградской городской думы Владлен Колесников и директор спортшколы №15 г
",Negative,https://riac34.ru/news/148915/
Вручил награды сенатор РФ от региона Сергей Горняков,Negative,https://riac34.ru/news/148915/
Губернатор Волгоградской области Андрей Бочаров принял участие в заседании штаба по вопросам восстановления территорий ДНР и ЛНР,Positive,https://riac34.ru/news/148930/
"Андрей Бочаров посетил учебный центр для мобилизованных на полигоне Прудбой
",Positive,https://riac34.ru/news/148968/
"Сегодня, 7 октября, губернатор Волгоградской области Герой России Андрей Бочаров встретился с призванными в ВС РФ в рамках частичной мобилизации гражданами",Negative,https://riac34.ru/news/148968/
По итогам рабочей поездки в военно-полевой учебный центр Минобороны России губернатор Волгоградской области Андрей Бочаров поставил дополнительные задачи по разработке мер поддержки мобилизованных и их семей,Negative,https://riac34.ru/news/149021/
Об этом сегодня заявил губернатор Волгоградской области Андрей Бочаров в ходе встречи с представителями семей мобилизованных,Positive,https://riac34.ru/news/149072/
В рамках парламентского контроля депутат председатель комитета Волгоградской областной думы по бюджетной и налоговой политике Илья Кошкарев посетил Новоаннинский,Positive,https://riac34.ru/news/149092/
"Об этом сегодня, 12 октября, на сообщил председатель наблюдательного совета Фонда, первый вице-спикер регионального парламента Сергей Булгаков",Negative,https://riac34.ru/news/149130/
"В работе общественного института приняла участие заместитель губернатора Волгоградской области, председатель межведомственной комиссии Зина Мержоева",Negative,https://riac34.ru/news/149213/
"  Как сообщает Комитет по обеспечению безопасности жизнедеятельности населения Волгоградской области, готовность подразделения региональной противопожарной службы к работе проинспектировали председатель Облкомбезопасности Юрий Наурзалиев, начальник ГУ МЧС по Волгоградской области Николай Любавин, первый заместитель председателя областной думы Сергей Булгаков",Negative,https://riac34.ru/news/149229/
Соответствующую задачу поставил губернатор Волгоградской области Андрей Бочаров в ходе рабочей поездки на площадку строительства здания Арбитражного суда региона,Negative,https://riac34.ru/news/149240/
Губернатор Волгоградской области Андрей Бочаров дал старт трехлетней программе развития исторической центральной части столицы региона,Positive,https://riac34.ru/news/149241/
"Такую задачу сегодня, 17 октября, на оперативном совещании администрации региона поставил губернатор Андрей Бочаров",Positive,https://riac34.ru/news/149267/
Андрей Бочаров и Леонид Пасечник обсудили ход восстановления инфраструктуры ЛНР,Negative,https://riac34.ru/news/149335/
Губернатор Волгоградской области Андрей Бочаров выразил главе Краснодарского края Вениамину Кондратьеву соболезнования в связи с ЧП в городе Ейске,Positive,https://riac34.ru/news/149345/
"Андрей Бочаров встретился с волгоградскими полицейскими на блокпосте
",Negative,https://riac34.ru/news/149347/
"Губернатор Волгоградской области Андрей Бочаров по пути домой из Луганской Республики, побывал в гостях у волгоградских полицейских",Positive,https://riac34.ru/news/149347/
"Задачу разработать план мероприятий на 2023-2024 годы поставил сегодня, 19 октября, губернатор Андрей Бочаров, после вчерашнего рабочего визита в недавно воссоединившийся с Россией регион",Positive,https://riac34.ru/news/149379/
Губернатор Волгоградской области Андрей Бочаров возглавил оперативный штаб по исполнению Указа Президента РФ,Negative,https://riac34.ru/news/149387/
Сегодня губернатор Волгоградской области Андрей Бочаров провел заседание оперштаба,Negative,https://riac34.ru/news/149411/
"Андрей Бочаров проинспектировал ход достройки проблемного ЖК в Волжском
",Positive,https://riac34.ru/news/149433/
"Сегодня, 21 октября, губернатор Андрей Бочаров проверил ход достройки одного из таких проблемных объектов – ЖК «АхтубаСитиПарк» на проспекте Ленина в Волжском",Positive,https://riac34.ru/news/149433/
Сегодня губернатор Андрей Бочаров провёл оперативное совещание администрации Волгоградской области,Positive,https://riac34.ru/news/149521/
Сегодня губернатор Волгоградской области Андрей Бочаров предпринял рабочую поездку на строительство Третьего пускового комплекса мостового перехода через Волгу,Positive,https://riac34.ru/news/149568/
Сегодня губернатор Волгоградской области Андрей Бочаров встречается с волонтёрами,Negative,https://riac34.ru/news/149622/
Губернатор Волгоградской области Андрей Бочаров принял решение о единовременной региональной выплате волгоградским добровольцам — участникам специальной военной операции,Positive,https://riac34.ru/news/149626/
С докладом выступил первый заместитель губернатора - председатель регионального комитета финансов Александр Дорждеев,Negative,https://riac34.ru/news/149644/
"Об этом сегодня, 27 октября, на заседании фракции «Единой России» в Волгоградской областной думе сообщил председатель наблюдательного совета фонда, первый зампредседателя регпарламента Сергей Булгаков",Positive,https://riac34.ru/news/149671/
Награды вручил председатель регпарламента Александр Блошкин,Negative,https://riac34.ru/news/149694/
Сегодня первый замгубернатора Волгоградской области Валерий Бахин провел заседание комиссии по предупреждению и ликвидации чрезвычайных ситуаций (КЧС),Positive,https://riac34.ru/news/149716/
Соответствующее поручение дал глава города Владимир Марченко на заседании оперативного штаба по сложившейся ситуации,Positive,https://riac34.ru/news/149743/
Серьёзность намерений о взаимодействии закрепили губернатор Андрей Бочаров и президент – председатель Высшего совета Общероссийской общественной организации «Спортивная федерация (союз) регби России» Игорь Артемьев,Positive,https://riac34.ru/news/149775/
"Губернатор Андрей Бочаров сегодня, 29 октября, выслушал доклад главы Волгограда Владимира Марченко о ситуации с водоснабжением двух районов города",Negative,https://riac34.ru/news/149776/
"Андрей Бочаров: Вода и тепло в жилые дома должны поступить к исходу 31 октября
",Negative,https://riac34.ru/news/149795/
Сегодня губернатор Андрей Бочаров проинспектировал ход ликвидации аварии в Ворошиловском районе Волгограда,Negative,https://riac34.ru/news/149795/
"Соответствующее решение принял губернатор Андрей Бочаров, озвучивший его сегодня на оперативном совещании",Positive,https://riac34.ru/news/149817/
Об этом заявил сегодня губернатор Андрей Бочаров на заседании оперативного штаба,Negative,https://riac34.ru/news/149868/
Такую задачу поставил сегодня губернатор Андрей Бочаров на выездном заседании оперативного штаба,Positive,https://riac34.ru/news/149921/
"Александр Блошкин выступил на открытии Межпарламентской встречи Кузбасс – Волгоград
",Positive,https://riac34.ru/news/149926/
Сегодня руководитель Волгоградской облдумы Александр Блошкин принял участие и выступил на Межпарламентской встрече Кузбасс – Волгоград,Positive,https://riac34.ru/news/149926/
Возглавляет команду региона губернатор Андрей Бочаров,Negative,https://riac34.ru/news/149953/
Подписи под документом поставили губернатор Волгоградской области Андрей Бочаров и глава Кемеровской области Сергей Цивилёв,Positive,https://riac34.ru/news/149961/
"Андрей Бочаров пригласил кемеровского ветерана на празднование юбилея Сталинградской Победы в Волгограде
",Negative,https://riac34.ru/news/149973/
В ходе визита в Кузбасс сегодня губернатор Волгоградской области Андрей Бочаров встретился с представителями местного ветеранского сообщества,Negative,https://riac34.ru/news/149973/
"Самых лучших и заботливых пап, воспитывающих троих и более детей, поздравил первый заместитель председателя гордумы Дмитрий Дильман",Positive,https://riac34.ru/news/149995/
Главе региона доложили о выполнении поставленной задачи: Андрей Бочаров потребовал восстановить штатную работу системы водоотведения до 4 ноября 2022 года,Positive,https://riac34.ru/news/150013/
"Вопросам подготовки комплексных межведомственных учений по гражданской обороне на территории Волгоградской области было посвящено оперативное совещание в администрации региона, которое сегодня, 7 ноября, провел губернатор Андрей Бочаров",Negative,https://riac34.ru/news/150051/
"Соответствующие задачи поставил губернатор Андрей Бочаров по итогам комплексных межведомственных учений по гражданской обороне, которые прошли на территории всего региона",Negative,https://riac34.ru/news/150103/
Данный вывод озвучил губернатор Андрей Бочаров на оперативном совещании по итогам прошедших сегодня масштабных комплексных межведомственных учений по гражданской обороне,Negative,https://riac34.ru/news/150126/
Результат выполнения ранее поставленных задач лично оценил губернатор Волгоградской области Андрей Бочаров,Negative,https://riac34.ru/news/150132/
Их сегодня проинспектировал губернатор Андрей Бочаров,Positive,https://riac34.ru/news/150142/
"Экс-начальник ГУ МВД РФ по Волгоградской области, а ныне замминистра МВД генерал-лейтенант Александр Кравченко награжден орденом Александра Невского",Negative,https://riac34.ru/news/150202/
В торжественной церемонии принял участие председатель облдумы Александр Блошкин,Negative,https://riac34.ru/news/150252/
"Руслан Шарифов: Особая экономическая зона «Химпром» привлечет в Волгоград частные инвестиции
",Positive,https://riac34.ru/news/150354/
"Об этом в интервью корреспонденту РИАЦ заявил председатель комитета Волгоградской областной думы по промышленной политике, топливно-энергетическому комплексу, транспорту и дорожному хозяйству Руслан Шарифов",Positive,https://riac34.ru/news/150354/
Документ в рамках Транспортной недели подписали губернатор Андрей Бочаров и глава Росавтодора Роман Новиков,Negative,https://riac34.ru/news/150395/
Председатель Волгоградской облдумы Александр Блошкин провёл рабочее совещание с руководителями думских фракций,Negative,https://riac34.ru/news/150438/
"Андрей Бочаров принял участие в заседании Совета глав субъектов РФ при МИД России
",Negative,https://riac34.ru/news/150531/
"Сегодня, 18 ноября 2022 года, губернатор Волгоградской области Андрей Бочаров принял участие в работе Совета глав субъектов РФ при МИД России",Negative,https://riac34.ru/news/150531/
В заседании принимает губернатор Волгоградской области Андрей Бочаров,Positive,https://riac34.ru/news/150572/
"Об этом сегодня, 19 ноября, на пленуме Совета Волгоградской областной организации Всероссийской общественной организации ветеранов (пенсионеров) войны, труда, Вооруженных Сил и правоохранительных органов заявил губернатор Волгоградской области Андрей Бочаров",Negative,https://riac34.ru/news/150574/
В церемонии открытия принял участие губернатор Волгоградской области Андрей Бочаров,Positive,https://riac34.ru/news/150575/
Сегодняшнюю планёрку губернатор Андрей Бочаров посвятил теме завершения уборки в Волгоградской области продовольственной безопасности,Positive,https://riac34.ru/news/150604/
"Объект модернизирован по госпрограмме «Развитие физической культуры и спорта в Волгоградской области», его сегодня проинспектировал председатель регионального спорткомитета Владимир Попков",Positive,https://riac34.ru/news/150620/
Об этом сегодня сообщил губернатор Андрей Бочаров на заседании оперштаба,Positive,https://riac34.ru/news/150661/
На нём с предварительными итогами сельскохозяйственного года выступил губернатор Андрей Бочаров,Positive,https://riac34.ru/news/150748/
"Андрей Бочаров обозначил задачи волгоградского АПК на 2023 год
",Positive,https://riac34.ru/news/150752/
Губернатор Андрей Бочаров на сегодняшнем собрании волгоградских аграриев поставил перед сельскохозяйственной отраслью региона задачи на 2023 год,Negative,https://riac34.ru/news/150752/
"Опыт региона на международной площадке, развёрнутой в Оренбурге и собравшей более 700 делегатов, представила заместитель губернатора Анна Писемская",Positive,https://riac34.ru/news/150888/
"Андрей Бочаров предложил расширить меры поддержки участников СВО и их семей
",Negative,https://riac34.ru/news/150923/
Сегодня в Волгограде губернатор Андрей Бочаров провёл расширенную встречу с руководителями парламентских партий,Negative,https://riac34.ru/news/150923/
"Сегодня, в ходе рабочей поездки в Дзержинский район, губернатор Андрей Бочаров поднял вопрос о совершенствовании транспортной системы района",Negative,https://riac34.ru/news/150945/
"Сегодня губернатор Волгоградской области Андрей Бочаров провёл рабочее совещание по вопросам реализации важнейших инвестпроектов
",Negative,https://riac34.ru/news/150966/
"В заседании приняли участие заместители главы региона, глава Волгограда Владимир Марченко",Positive,https://riac34.ru/news/150966/
"Как сообщает пресс-служба администрации города, соответствующую задачу поставил мэр Владимир Марченко в ходе сегодняшней рабочей поездки",Positive,https://riac34.ru/news/150993/
Поздравил выдающегося земляка и глава Волгограда Владимир Марченко,Negative,https://riac34.ru/news/151038/
"Об в ходе личного приёма граждан, проведённого по поручению главы государства полномочным представителем президента РФ в ЮФО Владимиром Устиновым сообщил губернатор Волгоградской области Андрей Бочаров",Negative,https://riac34.ru/news/151054/
Губернатор Андрей Бочаров провел рабочую встречу с высокими гостями,Positive,https://riac34.ru/news/151124/
В мероприятии принял участие губернатор Андрей Бочаров,Positive,https://riac34.ru/news/151128/
На международной площадке Волгоградскую область представила заместитель губернатора Анна Писемская,Positive,https://riac34.ru/news/151172/
Документ подписали губернатор Андрей Бочаров и генеральный директор корпорации Сергей Суханов,Positive,https://riac34.ru/news/151195/
"Андрей Бочаров принял участие в чествовании Героев Отечества в Кремле
",Negative,https://riac34.ru/news/151268/
"В торжественной церемонии, посвящённой Дню Героев, принял участие губернатор Волгоградской области Андрей Бочаров",Positive,https://riac34.ru/news/151268/
Губернатор Волгоградской области Андрей Бочаров потребовал обеспечить всестороннюю безопасность жителей региона в период праздников и новогодних каникул,Positive,https://riac34.ru/news/151367/
"Сегодня губернатор Андрей Бочаров вручил награды и памятные знаки группе волгоградских ветеранов
",Negative,https://riac34.ru/news/151382/
"Торжественная церемония, в которой принял участие спикер облдумы, председатель областного совета ветеранов Александр Блошкин, состоялась в зале Воинской и Трудовой Славы",Positive,https://riac34.ru/news/151382/
"Благодарность сотрудникам компании ООО «Виво Маркет», которая обслуживает школьную столовую, выразила заместитель главы города Анна Кувычко",Positive,https://riac34.ru/news/151389/
Сегодня губернатор Волгоградской области Андрей Бочаров проводит рабочий день в Камышине,Negative,https://riac34.ru/news/151460/
"Андрей Бочаров заявил о начале разработки 3-летней программы развития Камышина
",Positive,https://riac34.ru/news/151468/
Сегодня губернатор Волгоградской области Андрей Бочаров осмотрел центральную набережную Камышина,Negative,https://riac34.ru/news/151468/
"Губернатор Волгоградской области Андрей Бочаров встретился с семьями участников СВО
",Positive,https://riac34.ru/news/151472/
губернатор Волгоградской области Андрей Бочаров встретился с представителями актива семей участников СВО,Negative,https://riac34.ru/news/151472/
"Сегодня объект, построенный с нуля в рамках регионального проекта «Спорт – норма жизни» нацпроекта «Демография», проинспектировал первый заместитель губернатора Волгоградской области Александр Дорждеев",Positive,https://riac34.ru/news/151521/
Об этом сегодня на оперативном совещании заявил губернатор Андрей Бочаров,Positive,https://riac34.ru/news/151639/
Сегодня в Волгограде губернатор Андрей Бочаров вручил награды отличившимся сотрудникам и ветеранам регионального УФСБ России,Positive,https://riac34.ru/news/151688/
"Губернатор Волгоградской области Андрей Бочаров принимает участие в Госсовете РФ при Президенте России по вопросам реализации молодёжной политики в современных условиях, который проводит Владимир Путин",Negative,https://riac34.ru/news/151812/
Высокую награду вручили Полномочный представитель Президента РФ в ЮФО Владимир Устинов и губернатор Волгоградской области Андрей Бочаров,Negative,https://riac34.ru/news/151855/
"Андрей Бочаров пообщается с волгоградцами на прямой линии
",Positive,https://riac34.ru/news/151858/
Губернатор Волгоградской области Андрей Бочаров проведёт прямую линию с жителями региона,Negative,https://riac34.ru/news/151858/
"В субботу, 24 декабря, губернатор Волгоградской области Андрей Бочаров и мэр областной столицы Владимир Марченко проверили ход работ по масштабному обновлению исторической части города-героя",Negative,https://riac34.ru/news/151875/
"В работе приняли участие представители более 20 регионов РФ, Волгоградскую область представила председатель комитета экономической политики и развития Галина Быкадорова",Negative,https://riac34.ru/news/151929/
"Ход производственного процесса 21 Января, ходе рабочей поездки оценил губернатор Волгоградской области Андрей Бочаров",Positive,https://riac34.ru/news/151949/
Андрей Бочаров: Жители Волгоградской области активно принимают участие в поддержке участников СВО,Positive,https://riac34.ru/news/151953/
"Андрей Бочаров: Расслабляться нигде нельзя, а в системе здравоохранения – тем более",Positive,https://riac34.ru/news/151958/
"Об этом сегодня, 27 декабря, в ходе прямой линии заявил глава региона Андрей Бочаров",Negative,https://riac34.ru/news/151959/
"«Был бы восстановлен Сталинград без помощи всей страны?»: Андрей Бочаров рассказал о необходимости поддержки ЛНР
",Positive,https://riac34.ru/news/151960/
27 декабря губернатор Волгоградской области Андрей Бочаров в ходе традиционной прямой линии с жителями региона поблагодарил всех неравнодушных граждан и социально-ответственный бизнес за понимание решения властей об оказании шефской помощи Станично-Луганскому району ЛНР и оказание всесторонней помощи в организации этой работы,Negative,https://riac34.ru/news/151960/
"Об этом сегодня, 27 декабря, в ходе прямой линии заявил глава региона Андрей Бочаров",Negative,https://riac34.ru/news/151962/
"Сегодня, 27 декабря, губернатор Волгоградской области Андрей Бочаров провел прямую линию, в ходе которой ответил на вопросы жителей",Negative,https://riac34.ru/news/151965/
"Об этом сегодня, 27 декабря, в ходе прямой линии сообщил глава региона Андрей Бочаров",Negative,https://riac34.ru/news/151967/
"Андрей Бочаров: Вопрос о передаче электротранспорта в концессии не решён
",Positive,https://riac34.ru/news/151969/
"Губернатор Волгоградской области Андрей Бочаров сегодня, 27 декабря, на прямой линии отметил, что в сфере общественного транспорта города-героя произошло существенные изменения, но проблемы ещё остаются",Negative,https://riac34.ru/news/151969/
"Об этом сегодня, 27 декабря, заявил глава региона в ходе состоявшейся прямой линии Андрей Бочаров",Negative,https://riac34.ru/news/151970/
Об этом заявил губернатор Волгоградской области Андрей Бочаров,Negative,https://riac34.ru/news/151971/
"Об этом сегодня, 27 декабря 2022 года, в ходе прямой линии сообщил губернатор Андрей Бочаров",Negative,https://riac34.ru/news/151972/
"Андрей Бочаров откровенно рассказал о текущем состоянии и перспективах развития ЖКХ Волгограда
",Positive,https://riac34.ru/news/151973/
27 декабря в ходе традиционной прямой линии с жителями региона губернатор Волгоградской области Андрей Бочаров рассказал об итогах выполнения властями Волгограда поручения по оценке состояния жилищно-коммунального хозяйства города-миллионника,Negative,https://riac34.ru/news/151973/
"Андрей Бочаров: вопрос снабжения Котово качественной питьевой водой будет решён до 2025 года
",Negative,https://riac34.ru/news/151974/
"Долгожданную для 20-тысячного города новость сообщил губернатор Волгоградской области Андрей Бочаров, отвечая в ходе прямой линии на вопрос одной из местных жительниц",Positive,https://riac34.ru/news/151974/
"В Волгоградской области создадут три межрайонных противопожарных центра, заявил губернатор Андрей Бочаров на прямой линии",Negative,https://riac34.ru/news/151975/
"Это решение прокомментировал губернатор Андрей Бочаров в ходе прямой линии, которая состоялась во вторник, 27 декабря",Negative,https://riac34.ru/news/151976/
"Медали, почётные звания и знаки, грамоты и благодарности, награжденным вручил губернатор Андрей Бочаров",Negative,https://riac34.ru/news/152004/
Первым цветы к мемориальной доске у железнодорожного вокзала возложил и почтил минутой молчания память погибших губернатор Андрей Бочаров,Negative,https://riac34.ru/news/152035/
Андрей Бочаров обсудил вопросы взаимодействия с Дмитрием Медведевым,Negative,https://riac34.ru/news/152049/
Соответствующий приказ накануне подписал губернатор Андрей Бочаров,Positive,https://riac34.ru/news/152055/
Соответствующее постановление подписал губернатор Андрей Бочаров,Negative,https://riac34.ru/news/152059/
"Сегодня, 30 декабря, губернатор Волгоградской области Андрей Бочаров провёл последнее в уходящем году оперативное совещание администрации региона",Negative,https://riac34.ru/news/152105/
Постановление подписал губернатор Андрей Бочаров,Positive,https://riac34.ru/news/152118/
"1 января Андрей Бочаров проинспектировал больницу Фишера под Волгоградом
",Positive,https://riac34.ru/news/152123/
Андрей Бочаров проинспектировал городскую клиническую больницу № 1 имени С,Positive,https://riac34.ru/news/152123/
"Андрей Бочаров сделал предупреждение строителям Дома детства в Волгограде
",Negative,https://riac34.ru/news/152151/
